




Analysis Type:	PANTHER Overrepresentation Test (Released 20240807)
Annotation Version and Release Date:	GO Ontology database DOI:  10.5281/zenodo.16423886 Released 2025-07-22
Analyzed List:	salt_down.txt (Arabidopsis thaliana)
Reference List:	Arabidopsis thaliana (all genes in database)
Test Type:	FISHER
Correction:	FDR
GO biological process complete	Arabidopsis thaliana - REFLIST (27475)	salt_down.txt (805)	salt_down.txt (expected)	salt_down.txt (over/under)	salt_down.txt (fold Enrichment)	salt_down.txt (raw P-value)	salt_down.txt (FDR)
gibberellic acid transmembrane transport (GO:1905200)	2	2	.06	+	34.13	8.57E-04	4.51E-02
cinnamic acid ester metabolic process (GO:0009801)	2	2	.06	+	34.13	8.57E-04	4.47E-02
seed growth (GO:0080112)	4	3	.12	+	25.60	9.80E-05	7.59E-03
glutamine transport (GO:0006868)	6	4	.18	+	22.75	1.05E-05	1.46E-03
glucosinolate transport (GO:1901349)	6	4	.18	+	22.75	1.05E-05	1.42E-03
phloem loading (GO:0110126)	7	4	.21	+	19.50	2.39E-05	2.64E-03
suberin biosynthetic process (GO:0010345)	23	13	.67	+	19.29	9.30E-15	1.01E-11
phloem transport (GO:0010233)	21	8	.62	+	13.00	7.61E-08	1.88E-05
vascular transport (GO:0010232)	21	8	.62	+	13.00	7.61E-08	1.79E-05
vascular process in circulatory system (GO:0003018)	21	8	.62	+	13.00	7.61E-08	1.72E-05
circulatory system process (GO:0003013)	21	8	.62	+	13.00	7.61E-08	1.65E-05
system process (GO:0003008)	21	8	.62	+	13.00	7.61E-08	1.59E-05
neutral amino acid transport (GO:0015804)	20	7	.59	+	11.95	1.00E-06	1.88E-04
cutin biosynthetic process (GO:0010143)	25	6	.73	+	8.19	6.83E-05	5.97E-03
phenylpropanoid metabolic process (GO:0009698)	162	34	4.75	+	7.16	1.17E-19	3.18E-16
phenylpropanoid biosynthetic process (GO:0009699)	121	24	3.55	+	6.77	1.06E-13	6.38E-11
stress response to metal ion (GO:0097501)	31	6	.91	+	6.61	2.44E-04	1.72E-02
secondary metabolite biosynthetic process (GO:0044550)	140	26	4.10	+	6.34	5.16E-14	3.50E-11
multicellular organismal-level iron ion homeostasis (GO:0060586)	27	5	.79	+	6.32	1.01E-03	4.96E-02
response to metal ion starvation (GO:0180055)	27	5	.79	+	6.32	1.01E-03	4.92E-02
